,Tier of admission university,background university tier,CGPA,major GPA,Number of Recommendation Letter,Number of Internship,Number of International publication
0,4,5,0.79,0.7,3,1,1
1,1,2,1.0,0.92,4,2,1
2,1,1,1.0,0.95,1,0,0
3,1,2,0.96,0.98,4,2,1
4,3,3,0.94,0.99,2,0,0
5,1,1,0.88,0.89,1,1,0
6,2,4,0.9,0.85,4,1,1
7,3,4,0.97,1.0,4,1,1
8,4,5,0.82,0.81,4,1,1
9,5,5,0.79,0.66,2,0,0
10,4,4,0.87,0.89,1,0,0
11,4,5,0.82,0.79,4,1,1
12,3,4,0.93,0.89,3,1,1
13,4,5,0.74,0.76,3,2,1
14,3,5,0.86,0.84,4,1,2
15,1,1,0.97,1.0,0,0,0
16,1,1,1.0,1.0,1,1,0
17,2,2,0.98,1.0,1,0,0
18,2,3,0.99,1.0,4,1,1
19,4,5,0.8,0.79,4,1,1
20,2,2,0.84,1.0,2,2,0
21,2,3,0.94,1.0,4,2,1
22,3,4,0.87,0.89,3,1,1
23,1,1,1.0,1.0,1,1,0
24,1,2,1.0,0.9,4,1,1
25,3,3,0.92,0.97,2,1,0
26,1,1,1.0,0.88,2,0,0
27,3,3,0.9,0.97,2,1,0
28,1,2,1.0,0.89,3,2,1
29,2,3,0.96,0.97,3,2,1
30,3,4,0.86,0.85,3,2,0
31,3,4,0.85,0.84,4,1,1
32,5,5,0.76,0.76,2,2,0
33,5,5,0.86,0.83,1,0,0
34,3,4,0.9,0.92,4,1,0
35,2,3,0.98,1.0,4,2,1
36,3,5,0.84,1.0,4,2,2
37,5,5,0.73,0.76,2,0,0
38,4,4,0.83,0.83,2,0,0
39,1,2,0.92,0.99,4,2,1
40,2,2,1.0,1.0,1,1,0
41,3,5,0.89,0.85,4,2,2
42,5,3,0.76,0.78,2,0,0
43,5,5,0.72,0.8,2,1,0
44,4,4,0.82,0.84,2,0,0
45,2,1,1.0,1.0,1,0,0
46,2,2,0.9,0.92,0,1,0
47,1,2,0.92,1.0,4,1,1
48,2,2,0.95,1.0,2,1,0
49,5,5,0.8,0.78,1,1,0
50,4,3,0.89,0.84,2,0,0
51,2,4,0.94,0.78,4,1,1
52,4,5,0.79,0.79,4,2,1
53,4,4,0.81,0.95,1,0,0
54,2,3,0.89,0.99,3,2,1
55,1,3,0.94,0.94,4,2,1
56,3,3,0.95,0.96,1,0,0
57,5,5,0.74,0.73,2,0,0
58,1,1,0.94,0.9,1,0,0
59,5,5,0.66,0.72,2,0,0
60,4,5,0.87,0.88,4,2,1
61,5,4,0.74,0.7,2,0,0
62,3,4,0.85,1.0,3,1,1
63,3,3,0.93,0.9,2,0,0
64,2,1,1.0,0.98,2,0,0
65,3,5,0.86,1.0,4,1,2
66,4,4,0.79,0.88,2,0,0
67,2,3,0.98,1.0,4,1,0
68,1,2,1.0,1.0,3,1,2
69,5,5,0.78,0.82,2,1,0
70,1,2,0.98,1.0,4,1,1
71,2,2,0.92,1.0,1,0,0
72,5,5,0.76,0.67,2,1,0
73,5,5,0.71,0.72,1,1,0
74,1,3,1.0,0.85,4,2,0
75,1,3,0.92,0.82,3,1,1
76,4,5,0.8,0.76,4,1,2
77,2,4,0.78,1.0,4,1,1
78,2,1,0.91,0.8,1,1,0
79,4,4,0.81,0.85,1,1,0
80,4,3,0.74,0.77,1,2,0
81,5,5,0.74,0.86,2,1,0
82,2,3,0.84,0.96,3,2,1
83,4,5,0.86,0.8,3,1,1
84,5,5,0.79,0.75,2,1,0
85,4,5,0.76,0.83,3,2,2
86,3,5,0.9,0.89,3,1,1
87,3,4,0.89,0.91,3,2,2
88,1,1,0.97,0.92,1,0,0
89,1,2,0.95,1.0,3,2,1
90,1,1,0.97,0.9,1,1,0
91,3,3,0.87,0.89,0,1,0
92,4,4,0.84,0.86,2,0,0
93,3,4,0.87,0.92,3,2,1
94,1,2,0.96,1.0,3,2,1
95,4,5,0.8,0.63,4,2,0
96,4,5,0.81,0.85,3,1,1
97,1,2,0.97,1.0,4,2,1
98,3,3,0.92,0.92,1,1,0
99,1,2,0.96,1.0,4,1,1
100,1,3,1.0,1.0,4,1,0
101,3,3,0.89,0.86,2,1,0
102,4,5,0.69,0.77,4,2,1
103,3,4,0.95,0.93,4,1,1
104,2,4,0.96,0.94,4,1,2
105,3,3,0.87,0.88,1,0,0
106,5,5,0.66,0.65,1,0,0
107,5,4,0.69,0.82,1,2,0
108,3,4,0.83,0.85,4,1,1
109,5,5,0.74,0.61,1,1,0
110,3,4,0.88,0.8,3,1,1
111,2,3,0.88,0.92,3,1,2
112,5,5,0.71,0.69,2,0,0
113,3,3,0.96,0.98,1,0,0
114,2,4,0.94,0.92,4,2,1
115,1,2,1.0,0.95,4,1,1
116,5,5,0.72,0.74,1,1,0
117,1,1,0.86,0.96,2,1,0
118,5,5,0.73,0.66,2,1,0
119,3,3,0.89,0.99,2,0,0
120,4,5,0.85,0.82,4,2,0
121,3,4,0.89,0.84,3,2,0
122,1,3,0.96,1.0,3,1,1
123,1,2,0.99,1.0,4,2,1
124,5,5,0.83,0.78,2,1,0
125,1,3,0.98,0.97,3,1,1
126,1,1,0.96,0.95,2,0,0
127,1,2,0.99,0.88,4,2,1
128,2,5,0.98,1.0,4,2,0
129,2,4,0.99,0.98,3,2,2
130,5,5,0.8,0.88,1,0,0
131,2,3,0.92,0.87,3,2,1
132,2,2,0.92,0.99,2,1,0
133,5,5,0.7,0.83,1,1,0
134,5,5,0.68,0.75,2,0,0
135,2,2,0.9,0.85,1,0,0
136,4,5,0.78,0.68,4,2,1
137,2,3,0.97,1.0,4,1,0
138,4,2,0.9,0.8,1,0,0
139,5,4,0.69,0.82,1,0,0
140,2,3,0.92,1.0,4,1,1
141,1,1,0.97,1.0,1,1,0
142,5,5,0.75,0.75,2,1,0
143,2,3,0.95,0.97,3,2,2
144,1,2,1.0,1.0,4,2,1
145,1,1,1.0,0.89,2,1,0
146,4,5,0.82,0.66,4,2,1
147,4,4,0.91,0.72,1,0,0
148,2,4,0.94,0.84,4,1,0
149,4,5,0.77,0.84,4,2,1
150,1,2,0.97,1.0,4,2,1
151,3,3,0.97,0.95,2,1,0
152,4,3,0.82,0.83,1,0,0
153,5,5,0.79,0.88,1,1,0
154,4,5,0.84,0.7,4,2,0
155,3,3,0.9,0.93,1,0,0
156,5,5,0.71,0.74,2,0,0
157,3,4,0.87,1.0,3,1,1
158,3,3,0.88,0.84,1,1,0
159,5,5,0.65,0.78,1,1,0
160,2,2,0.98,0.92,1,1,0
161,5,5,0.73,0.77,2,1,0
162,1,1,0.94,1.0,1,0,0
163,3,5,0.94,0.9,4,2,1
164,4,5,0.89,0.67,3,2,1
165,1,2,0.97,1.0,4,1,1
166,3,5,0.93,0.86,3,1,1
167,5,5,0.8,0.66,2,0,0
168,1,1,0.9,1.0,2,1,0
169,5,5,0.77,0.79,1,0,0
170,4,5,0.72,0.84,3,2,1
171,4,4,0.87,0.96,1,0,0
172,3,3,0.84,0.87,1,0,0
173,3,5,0.86,1.0,4,1,1
174,2,4,0.98,0.83,3,1,1
175,3,4,0.98,0.81,3,1,1
176,5,5,0.7,0.81,1,0,0
177,3,4,0.89,0.9,4,1,1
178,5,4,0.77,0.84,2,0,0
179,2,4,0.9,0.99,4,2,1
180,1,4,1.0,1.0,4,1,1
181,5,5,0.78,0.71,2,0,0
182,1,2,1.0,0.82,4,1,0
183,3,4,0.89,0.9,3,2,1
184,5,5,0.75,0.8,1,1,0
185,1,1,0.99,1.0,1,1,0
186,4,5,0.79,0.87,4,1,1
187,4,4,0.75,0.91,2,1,0
188,4,5,0.89,0.82,4,2,1
189,3,4,0.82,0.87,4,2,2
190,3,3,0.91,0.93,1,0,0
191,4,3,0.81,0.88,2,1,0
192,2,2,0.92,0.9,2,1,0
193,1,3,0.9,1.0,3,2,1
194,2,2,0.88,0.94,2,1,0
195,3,5,0.88,0.94,4,1,1
196,5,4,0.67,0.71,3,1,0
197,4,4,0.8,0.83,2,1,0
198,5,5,0.82,0.73,2,0,0
199,3,5,0.93,0.83,3,2,1
200,5,5,0.76,0.74,2,0,0
201,5,5,0.73,0.81,2,0,0
202,4,4,0.81,0.83,1,0,0
203,2,2,0.97,1.0,1,0,0
204,3,3,0.89,0.94,2,1,0
205,5,5,0.8,0.74,2,0,0
206,1,2,0.95,1.0,3,1,1
207,5,5,0.79,0.77,1,0,0
208,4,5,0.72,0.81,4,1,1
209,3,4,0.75,0.8,3,1,1
210,4,4,0.89,0.74,3,0,0
211,4,4,0.87,0.83,1,1,0
212,3,4,0.84,0.95,3,2,1
213,3,3,0.93,0.97,2,1,0
214,5,4,0.74,0.7,2,1,0
215,3,4,0.94,0.91,4,2,1
216,2,1,0.97,0.94,2,1,0
217,5,5,0.77,0.8,2,0,0
218,3,4,0.88,0.79,3,2,2
219,3,3,0.83,1.0,1,2,0
220,4,5,0.74,0.87,3,2,0
221,5,5,0.74,0.8,2,0,0
222,3,3,1.0,0.88,2,1,0
223,2,2,0.88,1.0,2,1,0
224,3,5,0.84,0.87,3,2,1
225,5,4,0.8,0.72,1,0,0
226,3,4,0.95,0.96,4,2,1
227,4,5,0.88,0.82,4,1,1
228,4,4,0.75,0.85,1,1,0
229,1,1,0.9,0.98,1,0,0
230,5,5,0.77,0.81,2,0,0
231,2,3,0.9,1.0,3,1,1
232,5,5,0.84,0.74,1,0,0
233,4,5,0.88,0.85,4,2,2
234,4,3,0.82,0.77,1,1,0
235,5,5,0.72,0.81,0,0,0
236,3,3,0.96,0.93,2,1,0
237,1,2,1.0,0.85,4,1,1
238,2,1,0.97,0.96,1,0,0
239,2,2,1.0,0.93,1,1,0
240,5,5,0.79,0.78,2,0,0
241,3,2,0.88,0.93,2,1,0
242,2,3,1.0,0.91,4,1,1
243,2,4,0.98,0.95,4,2,1
244,5,3,0.67,0.84,2,0,0
245,4,5,0.8,0.88,3,2,1
246,2,3,0.88,1.0,3,2,2
247,4,5,0.78,0.9,4,1,1
248,1,1,0.86,1.0,2,0,0
249,1,2,0.94,0.93,4,1,1
250,4,5,0.8,0.74,4,1,1
251,4,5,0.83,0.92,4,2,1
252,3,3,0.82,0.86,2,0,0
253,1,2,1.0,0.98,3,1,1
254,3,3,0.93,0.94,2,0,0
255,3,5,0.98,0.95,3,1,1
256,1,1,1.0,1.0,1,0,0
257,3,5,0.95,0.91,3,2,2
258,5,4,0.71,0.72,2,0,0
259,5,5,0.8,0.76,2,0,0
260,4,4,0.9,0.91,2,0,0
261,2,4,1.0,1.0,4,1,0
262,2,3,0.94,0.88,4,1,1
263,4,5,0.85,0.82,3,2,1
264,4,5,0.79,0.84,3,2,1
265,1,2,1.0,1.0,3,2,1
266,5,5,0.75,0.79,2,1,0
267,1,2,0.93,1.0,4,2,1
268,2,2,0.92,1.0,2,1,0
269,1,2,0.99,0.96,4,1,1
270,2,3,1.0,0.9,3,1,1
271,4,5,0.78,0.87,4,1,0
272,1,3,0.89,0.88,3,2,0
273,2,1,0.97,0.94,1,1,0
274,2,3,1.0,0.99,4,1,1
275,1,1,0.94,1.0,1,0,0
276,2,4,0.87,0.88,4,1,1
277,2,3,0.88,0.91,4,1,1
278,3,3,0.87,0.99,1,1,0
279,1,2,0.96,0.96,3,2,1
280,1,2,1.0,1.0,4,2,2
281,5,5,0.74,0.81,2,0,0
282,1,1,0.98,1.0,2,0,0
283,4,4,0.85,0.75,1,1,0
284,2,2,0.89,0.75,2,0,0
285,2,2,1.0,0.89,2,1,0
286,4,5,0.79,0.82,4,1,2
287,5,5,0.72,0.74,1,1,0
288,3,3,0.87,0.83,1,1,0
289,3,3,0.94,1.0,2,0,0
290,4,4,0.81,0.91,2,1,0
291,4,5,0.85,0.88,4,1,1
292,3,5,0.89,0.92,4,2,1
293,5,5,0.76,0.75,2,0,0
294,5,3,0.81,0.82,1,0,0
295,1,1,0.87,0.98,1,1,0
296,3,3,0.83,1.0,2,1,0
297,5,5,0.71,0.69,1,0,0
298,2,2,0.94,1.0,1,0,0
299,4,4,0.86,0.84,2,1,0
